"outrate","outliers","N","true_pos","true_neg","false_pos","false_neg","true_pos_rate","true_neg_rate","false_pos_rate","false_neg_rate"
0.1,10,510,0,500,0,10,0,1,0,1
0.2,10,510,0,500,0,10,0,1,0,1
0.3,10,510,5,500,0,5,0.5,1,0,0.5
0.4,10,510,3,500,0,7,0.3,1,0,0.7
0.5,10,510,5,500,0,5,0.5,1,0,0.5
0.6,10,510,5,500,0,5,0.5,1,0,0.5
0.7,10,510,2,500,0,8,0.2,1,0,0.8
0.8,10,510,2,500,0,8,0.2,1,0,0.8
0.9,10,510,2,500,0,8,0.2,1,0,0.8
1,10,510,1,499,1,9,0.1,0.998,0.002,0.9
0.1,10,510,0,500,0,10,0,1,0,1
0.2,10,510,0,500,0,10,0,1,0,1
0.3,10,510,5,500,0,5,0.5,1,0,0.5
0.4,10,510,2,499,1,8,0.2,0.998,0.002,0.8
0.5,10,510,4,500,0,6,0.4,1,0,0.6
0.6,10,510,3,500,0,7,0.3,1,0,0.7
0.7,10,510,0,497,3,10,0,0.994,0.006,1
0.8,10,510,4,499,1,6,0.4,0.998,0.002,0.6
0.9,10,510,3,500,0,7,0.3,1,0,0.7
1,10,510,3,499,1,7,0.3,0.998,0.002,0.7
0.1,10,510,0,500,0,10,0,1,0,1
0.2,10,510,2,500,0,8,0.2,1,0,0.8
0.3,10,510,3,500,0,7,0.3,1,0,0.7
0.4,10,510,6,500,0,4,0.6,1,0,0.4
0.5,10,510,4,500,0,6,0.4,1,0,0.6
0.6,10,510,3,500,0,7,0.3,1,0,0.7
0.7,10,510,1,498,2,9,0.1,0.996,0.004,0.9
0.8,10,510,2,499,1,8,0.2,0.998,0.002,0.8
0.9,10,510,2,499,1,8,0.2,0.998,0.002,0.8
1,10,510,4,500,0,6,0.4,1,0,0.6
0.1,10,510,0,500,0,10,0,1,0,1
0.2,10,510,5,500,0,5,0.5,1,0,0.5
0.3,10,510,4,500,0,6,0.4,1,0,0.6
0.4,10,510,4,500,0,6,0.4,1,0,0.6
0.5,10,510,3,500,0,7,0.3,1,0,0.7
0.6,10,510,3,500,0,7,0.3,1,0,0.7
0.7,10,510,3,500,0,7,0.3,1,0,0.7
0.8,10,510,2,499,1,8,0.2,0.998,0.002,0.8
0.9,10,510,1,498,2,9,0.1,0.996,0.004,0.9
1,10,510,2,499,1,8,0.2,0.998,0.002,0.8
0.1,10,510,0,500,0,10,0,1,0,1
0.2,10,510,6,500,0,4,0.6,1,0,0.4
0.3,10,510,3,500,0,7,0.3,1,0,0.7
0.4,10,510,5,500,0,5,0.5,1,0,0.5
0.5,10,510,2,500,0,8,0.2,1,0,0.8
0.6,10,510,1,499,1,9,0.1,0.998,0.002,0.9
0.7,10,510,3,499,1,7,0.3,0.998,0.002,0.7
0.8,10,510,4,500,0,6,0.4,1,0,0.6
0.9,10,510,2,499,1,8,0.2,0.998,0.002,0.8
1,10,510,1,499,1,9,0.1,0.998,0.002,0.9
0.1,10,510,0,500,0,10,0,1,0,1
0.2,10,510,7,500,0,3,0.7,1,0,0.3
0.3,10,510,0,500,0,10,0,1,0,1
0.4,10,510,4,500,0,6,0.4,1,0,0.6
0.5,10,510,3,500,0,7,0.3,1,0,0.7
0.6,10,510,1,500,0,9,0.1,1,0,0.9
0.7,10,510,3,499,1,7,0.3,0.998,0.002,0.7
0.8,10,510,3,499,1,7,0.3,0.998,0.002,0.7
0.9,10,510,1,495,5,9,0.1,0.99,0.01,0.9
1,10,510,2,499,1,8,0.2,0.998,0.002,0.8
0.1,10,510,8,500,0,2,0.8,1,0,0.2
0.2,10,510,4,500,0,6,0.4,1,0,0.6
0.3,10,510,5,500,0,5,0.5,1,0,0.5
0.4,10,510,5,500,0,5,0.5,1,0,0.5
0.5,10,510,4,500,0,6,0.4,1,0,0.6
0.6,10,510,4,500,0,6,0.4,1,0,0.6
0.7,10,510,2,499,1,8,0.2,0.998,0.002,0.8
0.8,10,510,2,499,1,8,0.2,0.998,0.002,0.8
0.9,10,510,2,500,0,8,0.2,1,0,0.8
1,10,510,2,498,2,8,0.2,0.996,0.004,0.8
0.1,10,510,0,500,0,10,0,1,0,1
0.2,10,510,0,500,0,10,0,1,0,1
0.3,10,510,0,500,0,10,0,1,0,1
0.4,10,510,4,500,0,6,0.4,1,0,0.6
0.5,10,510,4,499,1,6,0.4,0.998,0.002,0.6
0.6,10,510,5,500,0,5,0.5,1,0,0.5
0.7,10,510,3,499,1,7,0.3,0.998,0.002,0.7
0.8,10,510,2,500,0,8,0.2,1,0,0.8
0.9,10,510,2,499,1,8,0.2,0.998,0.002,0.8
1,10,510,2,498,2,8,0.2,0.996,0.004,0.8
0.1,10,510,0,500,0,10,0,1,0,1
0.2,10,510,0,500,0,10,0,1,0,1
0.3,10,510,5,500,0,5,0.5,1,0,0.5
0.4,10,510,8,500,0,2,0.8,1,0,0.2
0.5,10,510,4,500,0,6,0.4,1,0,0.6
0.6,10,510,3,500,0,7,0.3,1,0,0.7
0.7,10,510,2,499,1,8,0.2,0.998,0.002,0.8
0.8,10,510,3,500,0,7,0.3,1,0,0.7
0.9,10,510,1,498,2,9,0.1,0.996,0.004,0.9
1,10,510,1,498,2,9,0.1,0.996,0.004,0.9
0.1,10,510,8,500,0,2,0.8,1,0,0.2
0.2,10,510,7,500,0,3,0.7,1,0,0.3
0.3,10,510,5,500,0,5,0.5,1,0,0.5
0.4,10,510,4,500,0,6,0.4,1,0,0.6
0.5,10,510,2,499,1,8,0.2,0.998,0.002,0.8
0.6,10,510,4,500,0,6,0.4,1,0,0.6
0.7,10,510,4,499,1,6,0.4,0.998,0.002,0.6
0.8,10,510,1,500,0,9,0.1,1,0,0.9
0.9,10,510,1,498,2,9,0.1,0.996,0.004,0.9
1,10,510,2,499,1,8,0.2,0.998,0.002,0.8
