"outrate","outliers","N","true_pos","true_neg","false_pos","false_neg","true_pos_rate","true_neg_rate","false_pos_rate","false_neg_rate"
0.1,10,1010,0,996,4,10,0,0.996,0.004,1
0.2,10,1010,3,994,6,7,0.3,0.994,0.006,0.7
0.3,10,1010,10,997,3,0,1,0.997,0.003,0
0.4,10,1010,10,999,1,0,1,0.999,0.001,0
0.5,10,1010,10,996,4,0,1,0.996,0.004,0
0.6,10,1010,10,996,4,0,1,0.996,0.004,0
0.7,10,1010,10,997,3,0,1,0.997,0.003,0
0.1,10,1010,7,995,5,3,0.7,0.995,0.005,0.3
0.2,10,1010,7,997,3,3,0.7,0.997,0.003,0.3
0.3,10,1010,10,996,4,0,1,0.996,0.004,0
0.4,10,1010,10,998,2,0,1,0.998,0.002,0
0.5,10,1010,10,999,1,0,1,0.999,0.001,0
0.6,10,1010,10,998,2,0,1,0.998,0.002,0
0.7,10,1010,10,997,3,0,1,0.997,0.003,0
0.1,10,1010,6,995,5,4,0.6,0.995,0.005,0.4
0.2,10,1010,10,997,3,0,1,0.997,0.003,0
0.3,10,1010,10,998,2,0,1,0.998,0.002,0
0.4,10,1010,10,996,4,0,1,0.996,0.004,0
0.5,10,1010,10,999,1,0,1,0.999,0.001,0
0.6,10,1010,10,997,3,0,1,0.997,0.003,0
0.7,10,1010,10,998,2,0,1,0.998,0.002,0
0.1,10,1010,6,994,6,4,0.6,0.994,0.006,0.4
0.2,10,1010,10,997,3,0,1,0.997,0.003,0
0.3,10,1010,10,999,1,0,1,0.999,0.001,0
0.4,10,1010,10,998,2,0,1,0.998,0.002,0
0.5,10,1010,10,998,2,0,1,0.998,0.002,0
0.6,10,1010,10,998,2,0,1,0.998,0.002,0
0.7,10,1010,10,997,3,0,1,0.997,0.003,0
0.1,10,1010,1,997,3,9,0.1,0.997,0.003,0.9
0.2,10,1010,0,997,3,10,0,0.997,0.003,1
0.3,10,1010,10,998,2,0,1,0.998,0.002,0
0.4,10,1010,10,995,5,0,1,0.995,0.005,0
0.5,10,1010,10,997,3,0,1,0.997,0.003,0
0.6,10,1010,10,995,5,0,1,0.995,0.005,0
0.7,10,1010,10,998,2,0,1,0.998,0.002,0
0.1,10,1010,6,994,6,4,0.6,0.994,0.006,0.4
0.2,10,1010,10,997,3,0,1,0.997,0.003,0
0.3,10,1010,10,993,7,0,1,0.993,0.007,0
0.4,10,1010,10,995,5,0,1,0.995,0.005,0
0.5,10,1010,10,999,1,0,1,0.999,0.001,0
0.6,10,1010,10,998,2,0,1,0.998,0.002,0
0.7,10,1010,10,998,2,0,1,0.998,0.002,0
0.1,10,1010,0,996,4,10,0,0.996,0.004,1
0.2,10,1010,10,995,5,0,1,0.995,0.005,0
0.3,10,1010,10,996,4,0,1,0.996,0.004,0
0.4,10,1010,10,996,4,0,1,0.996,0.004,0
0.5,10,1010,10,997,3,0,1,0.997,0.003,0
0.6,10,1010,10,999,1,0,1,0.999,0.001,0
0.7,10,1010,10,999,1,0,1,0.999,0.001,0
0.1,10,1010,0,995,5,10,0,0.995,0.005,1
0.2,10,1010,2,993,7,8,0.2,0.993,0.007,0.8
