"outrate","outliers","N","true_pos","true_neg","false_pos","false_neg","true_pos_rate","true_neg_rate","false_pos_rate","false_neg_rate"
0.1,10,1010,0,996,4,10,0,0.996,0.004,1
0.2,10,1010,0,998,2,10,0,0.998,0.002,1
0.3,10,1010,10,1000,0,0,1,1,0,0
0.4,10,1010,10,999,1,0,1,0.999,0.001,0
0.5,10,1010,10,1000,0,0,1,1,0,0
0.6,10,1010,10,997,3,0,1,0.997,0.003,0
0.7,10,1010,10,999,1,0,1,0.999,0.001,0
0.1,10,1010,0,998,2,10,0,0.998,0.002,1
0.2,10,1010,0,998,2,10,0,0.998,0.002,1
0.3,10,1010,0,997,3,10,0,0.997,0.003,1
0.4,10,1010,10,998,2,0,1,0.998,0.002,0
0.5,10,1010,10,999,1,0,1,0.999,0.001,0
0.6,10,1010,9,998,2,1,0.9,0.998,0.002,0.1
0.7,10,1010,10,1000,0,0,1,1,0,0
0.1,10,1010,2,995,5,8,0.2,0.995,0.005,0.8
0.2,10,1010,0,996,4,10,0,0.996,0.004,1
0.3,10,1010,0,997,3,10,0,0.997,0.003,1
0.4,10,1010,10,1000,0,0,1,1,0,0
0.5,10,1010,10,1000,0,0,1,1,0,0
0.6,10,1010,10,1000,0,0,1,1,0,0
0.7,10,1010,10,998,2,0,1,0.998,0.002,0
0.1,10,1010,0,999,1,10,0,0.999,0.001,1
0.2,10,1010,0,998,2,10,0,0.998,0.002,1
0.3,10,1010,10,999,1,0,1,0.999,0.001,0
0.4,10,1010,10,998,2,0,1,0.998,0.002,0
0.5,10,1010,10,1000,0,0,1,1,0,0
0.6,10,1010,10,999,1,0,1,0.999,0.001,0
0.7,10,1010,10,1000,0,0,1,1,0,0
0.1,10,1010,2,997,3,8,0.2,0.997,0.003,0.8
0.2,10,1010,3,997,3,7,0.3,0.997,0.003,0.7
0.3,10,1010,10,999,1,0,1,0.999,0.001,0
0.4,10,1010,9,999,1,1,0.9,0.999,0.001,0.1
0.5,10,1010,10,1000,0,0,1,1,0,0
0.6,10,1010,0,1000,0,10,0,1,0,1
0.7,10,1010,10,1000,0,0,1,1,0,0
0.1,10,1010,0,996,4,10,0,0.996,0.004,1
0.2,10,1010,4,998,2,6,0.4,0.998,0.002,0.6
0.3,10,1010,1,1000,0,9,0.1,1,0,0.9
0.4,10,1010,0,998,2,10,0,0.998,0.002,1
0.5,10,1010,10,1000,0,0,1,1,0,0
0.6,10,1010,10,999,1,0,1,0.999,0.001,0
0.7,10,1010,10,1000,0,0,1,1,0,0
0.1,10,1010,0,994,6,10,0,0.994,0.006,1
0.2,10,1010,0,999,1,10,0,0.999,0.001,1
0.3,10,1010,0,994,6,10,0,0.994,0.006,1
0.4,10,1010,10,1000,0,0,1,1,0,0
0.5,10,1010,10,999,1,0,1,0.999,0.001,0
0.6,10,1010,10,1000,0,0,1,1,0,0
0.7,10,1010,10,999,1,0,1,0.999,0.001,0
0.1,10,1010,0,994,6,10,0,0.994,0.006,1
0.2,10,1010,0,993,7,10,0,0.993,0.007,1
0.3,10,1010,7,1000,0,3,0.7,1,0,0.3
0.4,10,1010,10,1000,0,0,1,1,0,0
0.5,10,1010,0,999,1,10,0,0.999,0.001,1
0.6,10,1010,10,999,1,0,1,0.999,0.001,0
0.7,10,1010,10,1000,0,0,1,1,0,0
0.1,10,1010,2,997,3,8,0.2,0.997,0.003,0.8
0.2,10,1010,1,996,4,9,0.1,0.996,0.004,0.9
0.3,10,1010,10,999,1,0,1,0.999,0.001,0
0.4,10,1010,0,999,1,10,0,0.999,0.001,1
0.5,10,1010,10,999,1,0,1,0.999,0.001,0
0.6,10,1010,10,1000,0,0,1,1,0,0
0.7,10,1010,10,999,1,0,1,0.999,0.001,0
0.1,10,1010,0,998,2,10,0,0.998,0.002,1
0.2,10,1010,0,997,3,10,0,0.997,0.003,1
0.3,10,1010,8,999,1,2,0.8,0.999,0.001,0.2
0.4,10,1010,0,999,1,10,0,0.999,0.001,1
0.5,10,1010,10,999,1,0,1,0.999,0.001,0
0.6,10,1010,10,999,1,0,1,0.999,0.001,0
0.7,10,1010,10,999,1,0,1,0.999,0.001,0
0.1,10,1010,4,998,2,6,0.4,0.998,0.002,0.6
0.2,10,1010,10,996,4,0,1,0.996,0.004,0
0.3,10,1010,10,999,1,0,1,0.999,0.001,0
0.4,10,1010,0,1000,0,10,0,1,0,1
0.5,10,1010,10,1000,0,0,1,1,0,0
0.6,10,1010,10,1000,0,0,1,1,0,0
0.7,10,1010,10,999,1,0,1,0.999,0.001,0
0.1,10,1010,2,998,2,8,0.2,0.998,0.002,0.8
0.2,10,1010,1,997,3,9,0.1,0.997,0.003,0.9
0.3,10,1010,0,999,1,10,0,0.999,0.001,1
0.4,10,1010,10,999,1,0,1,0.999,0.001,0
0.5,10,1010,10,999,1,0,1,0.999,0.001,0
0.6,10,1010,10,999,1,0,1,0.999,0.001,0
0.7,10,1010,10,999,1,0,1,0.999,0.001,0
0.1,10,1010,0,996,4,10,0,0.996,0.004,1
0.2,10,1010,2,998,2,8,0.2,0.998,0.002,0.8
0.3,10,1010,4,997,3,6,0.4,0.997,0.003,0.6
0.4,10,1010,2,997,3,8,0.2,0.997,0.003,0.8
0.5,10,1010,10,999,1,0,1,0.999,0.001,0
0.6,10,1010,0,995,5,10,0,0.995,0.005,1
0.7,10,1010,10,999,1,0,1,0.999,0.001,0
0.1,10,1010,1,995,5,9,0.1,0.995,0.005,0.9
0.2,10,1010,0,996,4,10,0,0.996,0.004,1
0.3,10,1010,0,999,1,10,0,0.999,0.001,1
0.4,10,1010,10,998,2,0,1,0.998,0.002,0
0.5,10,1010,0,998,2,10,0,0.998,0.002,1
0.6,10,1010,0,997,3,10,0,0.997,0.003,1
0.7,10,1010,10,999,1,0,1,0.999,0.001,0
0.1,10,1010,0,992,8,10,0,0.992,0.008,1
0.2,10,1010,0,996,4,10,0,0.996,0.004,1
0.3,10,1010,2,998,2,8,0.2,0.998,0.002,0.8
0.4,10,1010,10,999,1,0,1,0.999,0.001,0
0.5,10,1010,10,1000,0,0,1,1,0,0
0.6,10,1010,0,999,1,10,0,0.999,0.001,1
0.7,10,1010,10,994,6,0,1,0.994,0.006,0
0.1,10,1010,0,997,3,10,0,0.997,0.003,1
0.2,10,1010,0,996,4,10,0,0.996,0.004,1
0.3,10,1010,3,999,1,7,0.3,0.999,0.001,0.7
0.4,10,1010,0,998,2,10,0,0.998,0.002,1
0.5,10,1010,10,1000,0,0,1,1,0,0
0.6,10,1010,3,999,1,7,0.3,0.999,0.001,0.7
0.7,10,1010,10,1000,0,0,1,1,0,0
0.1,10,1010,2,998,2,8,0.2,0.998,0.002,0.8
0.2,10,1010,0,998,2,10,0,0.998,0.002,1
0.3,10,1010,10,1000,0,0,1,1,0,0
0.4,10,1010,10,999,1,0,1,0.999,0.001,0
0.5,10,1010,7,1000,0,3,0.7,1,0,0.3
0.6,10,1010,9,1000,0,1,0.9,1,0,0.1
0.7,10,1010,10,999,1,0,1,0.999,0.001,0
0.1,10,1010,0,996,4,10,0,0.996,0.004,1
0.2,10,1010,0,995,5,10,0,0.995,0.005,1
0.3,10,1010,8,997,3,2,0.8,0.997,0.003,0.2
0.4,10,1010,10,999,1,0,1,0.999,0.001,0
0.5,10,1010,10,1000,0,0,1,1,0,0
0.6,10,1010,0,999,1,10,0,0.999,0.001,1
0.7,10,1010,10,1000,0,0,1,1,0,0
0.1,10,1010,0,993,7,10,0,0.993,0.007,1
0.2,10,1010,0,997,3,10,0,0.997,0.003,1
0.3,10,1010,8,998,2,2,0.8,0.998,0.002,0.2
0.4,10,1010,0,998,2,10,0,0.998,0.002,1
0.5,10,1010,10,999,1,0,1,0.999,0.001,0
0.6,10,1010,10,1000,0,0,1,1,0,0
0.7,10,1010,10,1000,0,0,1,1,0,0
0.1,10,1010,0,992,8,10,0,0.992,0.008,1
0.2,10,1010,3,996,4,7,0.3,0.996,0.004,0.7
0.3,10,1010,2,996,4,8,0.2,0.996,0.004,0.8
0.4,10,1010,10,1000,0,0,1,1,0,0
0.5,10,1010,10,999,1,0,1,0.999,0.001,0
0.6,10,1010,10,999,1,0,1,0.999,0.001,0
0.7,10,1010,10,999,1,0,1,0.999,0.001,0
