"N","true_pos","true_neg","false_pos","false_neg","true_positive_rate","true_negative_rate","false_positive_rate","false_negative_rate"
1005,0,995,5,5,0,0.995,0.005,1
1005,1,990,10,4,0.2,0.99,0.01,0.8
1005,3,995,5,2,0.6,0.995,0.005,0.4
1005,2,994,6,3,0.4,0.994,0.006,0.6
1005,1,991,9,4,0.2,0.991,0.009,0.8
1005,0,997,3,5,0,0.997,0.003,1
1005,0,995,5,5,0,0.995,0.005,1
1005,2,993,7,3,0.4,0.993,0.007,0.6
1005,0,996,4,5,0,0.996,0.004,1
1005,1,991,9,4,0.2,0.991,0.009,0.8
2005,2,1984,16,3,0.4,0.992,0.008,0.6
2005,5,1983,17,0,1,0.9915,0.0085,0
2005,3,1984,16,2,0.6,0.992,0.008,0.4
2005,3,1982,18,2,0.6,0.991,0.009,0.4
2005,3,1985,15,2,0.6,0.9925,0.0075,0.4
2005,2,1982,18,3,0.4,0.991,0.009,0.6
2005,1,1979,21,4,0.2,0.9895,0.0105,0.8
2005,1,1985,15,4,0.2,0.9925,0.0075,0.8
2005,2,1986,14,3,0.4,0.993,0.007,0.6
2005,0,1987,13,5,0,0.9935,0.0065,1
3005,1,2982,18,4,0.2,0.994,0.006,0.8
3005,3,2974,26,2,0.6,0.991333333333333,0.00866666666666667,0.4
3005,2,2983,17,3,0.4,0.994333333333333,0.00566666666666667,0.6
3005,2,2982,18,3,0.4,0.994,0.006,0.6
3005,2,2975,25,3,0.4,0.991666666666667,0.00833333333333333,0.6
3005,3,2973,27,2,0.6,0.991,0.009,0.4
3005,2,2973,27,3,0.4,0.991,0.009,0.6
3005,3,2980,20,2,0.6,0.993333333333333,0.00666666666666667,0.4
3005,5,2979,21,0,1,0.993,0.007,0
3005,3,2983,17,2,0.6,0.994333333333333,0.00566666666666667,0.4
4005,2,3967,33,3,0.4,0.99175,0.00825,0.6
4005,4,3966,34,1,0.8,0.9915,0.0085,0.2
4005,1,3967,33,4,0.2,0.99175,0.00825,0.8
4005,4,3963,37,1,0.8,0.99075,0.00925,0.2
4005,2,3967,33,3,0.4,0.99175,0.00825,0.6
4005,3,3971,29,2,0.6,0.99275,0.00725,0.4
4005,3,3980,20,2,0.6,0.995,0.005,0.4
4005,2,3974,26,3,0.4,0.9935,0.0065,0.6
4005,2,3968,32,3,0.4,0.992,0.008,0.6
4005,0,3968,32,5,0,0.992,0.008,1
5005,3,4967,33,2,0.6,0.9934,0.0066,0.4
5005,0,4962,38,5,0,0.9924,0.0076,1
5005,2,4964,36,3,0.4,0.9928,0.0072,0.6
5005,3,4960,40,2,0.6,0.992,0.008,0.4
5005,2,4963,37,3,0.4,0.9926,0.0074,0.6
5005,3,4969,31,2,0.6,0.9938,0.0062,0.4
5005,1,4960,40,4,0.2,0.992,0.008,0.8
5005,3,4968,32,2,0.6,0.9936,0.0064,0.4
5005,1,4957,43,4,0.2,0.9914,0.0086,0.8
5005,1,4958,42,4,0.2,0.9916,0.0084,0.8
6005,2,5958,42,3,0.4,0.993,0.007,0.6
6005,4,5963,37,1,0.8,0.993833333333333,0.00616666666666667,0.2
6005,4,5958,42,1,0.8,0.993,0.007,0.2
6005,0,5958,42,5,0,0.993,0.007,1
6005,1,5960,40,4,0.2,0.993333333333333,0.00666666666666667,0.8
6005,1,5959,41,4,0.2,0.993166666666667,0.00683333333333333,0.8
6005,1,5956,44,4,0.2,0.992666666666667,0.00733333333333333,0.8
6005,3,5958,42,2,0.6,0.993,0.007,0.4
6005,4,5947,53,1,0.8,0.991166666666667,0.00883333333333333,0.2
6005,1,5964,36,4,0.2,0.994,0.006,0.8
7005,0,6946,54,5,0,0.992285714285714,0.00771428571428571,1
7005,5,6936,64,0,1,0.990857142857143,0.00914285714285714,0
7005,1,6939,61,4,0.2,0.991285714285714,0.00871428571428571,0.8
7005,4,6950,50,1,0.8,0.992857142857143,0.00714285714285714,0.2
7005,3,6949,51,2,0.6,0.992714285714286,0.00728571428571429,0.4
7005,1,6951,49,4,0.2,0.993,0.007,0.8
