"N","true_pos","true_neg","false_pos","false_neg","true_positive_rate","true_negative_rate","false_positive_rate","false_negative_rate"
1005,0,994,6,5,0,0.994,0.006,1
1005,0,994,6,5,0,0.994,0.006,1
1005,2,996,4,3,0.4,0.996,0.004,0.6
1005,2,995,5,3,0.4,0.995,0.005,0.6
1005,0,995,5,5,0,0.995,0.005,1
1005,0,994,6,5,0,0.994,0.006,1
1005,1,994,6,4,0.2,0.994,0.006,0.8
1005,0,997,3,5,0,0.997,0.003,1
1005,0,998,2,5,0,0.998,0.002,1
1005,0,997,3,5,0,0.997,0.003,1
2005,1,1988,12,4,0.2,0.994,0.006,0.8
2005,4,1986,14,1,0.8,0.993,0.007,0.2
2005,0,1988,12,5,0,0.994,0.006,1
2005,0,1987,13,5,0,0.9935,0.0065,1
2005,0,1987,13,5,0,0.9935,0.0065,1
2005,1,1989,11,4,0.2,0.9945,0.0055,0.8
2005,0,1990,10,5,0,0.995,0.005,1
2005,1,1991,9,4,0.2,0.9955,0.0045,0.8
2005,0,1991,9,5,0,0.9955,0.0045,1
2005,0,1988,12,5,0,0.994,0.006,1
3005,1,2986,14,4,0.2,0.995333333333333,0.00466666666666667,0.8
3005,0,2984,16,5,0,0.994666666666667,0.00533333333333333,1
3005,2,2984,16,3,0.4,0.994666666666667,0.00533333333333333,0.6
3005,1,2984,16,4,0.2,0.994666666666667,0.00533333333333333,0.8
3005,0,2981,19,5,0,0.993666666666667,0.00633333333333333,1
3005,0,2983,17,5,0,0.994333333333333,0.00566666666666667,1
3005,1,2982,18,4,0.2,0.994,0.006,0.8
3005,2,2988,12,3,0.4,0.996,0.004,0.6
3005,0,2986,14,5,0,0.995333333333333,0.00466666666666667,1
3005,3,2985,15,2,0.6,0.995,0.005,0.4
4005,2,3980,20,3,0.4,0.995,0.005,0.6
4005,1,3979,21,4,0.2,0.99475,0.00525,0.8
4005,0,3976,24,5,0,0.994,0.006,1
4005,0,3975,25,5,0,0.99375,0.00625,1
4005,0,3976,24,5,0,0.994,0.006,1
4005,1,3978,22,4,0.2,0.9945,0.0055,0.8
4005,2,3982,18,3,0.4,0.9955,0.0045,0.6
4005,1,3978,22,4,0.2,0.9945,0.0055,0.8
4005,0,3980,20,5,0,0.995,0.005,1
4005,0,3976,24,5,0,0.994,0.006,1
5005,2,4976,24,3,0.4,0.9952,0.0048,0.6
5005,0,4970,30,5,0,0.994,0.006,1
5005,2,4976,24,3,0.4,0.9952,0.0048,0.6
5005,3,4972,28,2,0.6,0.9944,0.0056,0.4
5005,1,4971,29,4,0.2,0.9942,0.0058,0.8
5005,2,4977,23,3,0.4,0.9954,0.0046,0.6
5005,1,4969,31,4,0.2,0.9938,0.0062,0.8
5005,3,4977,23,2,0.6,0.9954,0.0046,0.4
5005,1,4972,28,4,0.2,0.9944,0.0056,0.8
5005,0,4974,26,5,0,0.9948,0.0052,1
6005,1,5972,28,4,0.2,0.995333333333333,0.00466666666666667,0.8
6005,2,5973,27,3,0.4,0.9955,0.0045,0.6
6005,2,5970,30,3,0.4,0.995,0.005,0.6
6005,0,5974,26,5,0,0.995666666666667,0.00433333333333333,1
6005,0,5970,30,5,0,0.995,0.005,1
6005,0,5967,33,5,0,0.9945,0.0055,1
6005,1,5964,36,4,0.2,0.994,0.006,0.8
6005,1,5968,32,4,0.2,0.994666666666667,0.00533333333333333,0.8
6005,1,5968,32,4,0.2,0.994666666666667,0.00533333333333333,0.8
6005,1,5970,30,4,0.2,0.995,0.005,0.8
7005,0,6958,42,5,0,0.994,0.006,1
7005,2,6957,43,3,0.4,0.993857142857143,0.00614285714285714,0.6
7005,1,6959,41,4,0.2,0.994142857142857,0.00585714285714286,0.8
7005,2,6967,33,3,0.4,0.995285714285714,0.00471428571428571,0.6
7005,1,6966,34,4,0.2,0.995142857142857,0.00485714285714286,0.8
7005,0,6959,41,5,0,0.994142857142857,0.00585714285714286,1
7005,2,6965,35,3,0.4,0.995,0.005,0.6
7005,3,6957,43,2,0.6,0.993857142857143,0.00614285714285714,0.4
7005,2,6962,38,3,0.4,0.994571428571429,0.00542857142857143,0.6
7005,0,6965,35,5,0,0.995,0.005,1
8005,0,7949,51,5,0,0.993625,0.006375,1
8005,2,7957,43,3,0.4,0.994625,0.005375,0.6
8005,0,7958,42,5,0,0.99475,0.00525,1
8005,1,7962,38,4,0.2,0.99525,0.00475,0.8
8005,2,7955,45,3,0.4,0.994375,0.005625,0.6
8005,0,7961,39,5,0,0.995125,0.004875,1
8005,1,7963,37,4,0.2,0.995375,0.004625,0.8
8005,2,7950,50,3,0.4,0.99375,0.00625,0.6
8005,0,7960,40,5,0,0.995,0.005,1
8005,1,7956,44,4,0.2,0.9945,0.0055,0.8
9005,1,8949,51,4,0.2,0.994333333333333,0.00566666666666667,0.8
9005,1,8941,59,4,0.2,0.993444444444444,0.00655555555555556,0.8
9005,3,8959,41,2,0.6,0.995444444444444,0.00455555555555556,0.4
9005,0,8950,50,5,0,0.994444444444444,0.00555555555555556,1
9005,1,8949,51,4,0.2,0.994333333333333,0.00566666666666667,0.8
9005,2,8957,43,3,0.4,0.995222222222222,0.00477777777777778,0.6
9005,0,8945,55,5,0,0.993888888888889,0.00611111111111111,1
9005,2,8958,42,3,0.4,0.995333333333333,0.00466666666666667,0.6
9005,0,8951,49,5,0,0.994555555555556,0.00544444444444444,1
9005,1,8955,45,4,0.2,0.995,0.005,0.8
10005,1,9946,54,4,0.2,0.9946,0.0054,0.8
10005,0,9959,41,5,0,0.9959,0.0041,1
10005,0,9949,51,5,0,0.9949,0.0051,1
10005,1,9948,52,4,0.2,0.9948,0.0052,0.8
10005,3,9947,53,2,0.6,0.9947,0.0053,0.4
10005,4,9954,46,1,0.8,0.9954,0.0046,0.2
10005,2,9944,56,3,0.4,0.9944,0.0056,0.6
10005,0,9942,58,5,0,0.9942,0.0058,1
10005,1,9950,50,4,0.2,0.995,0.005,0.8
10005,1,9939,61,4,0.2,0.9939,0.0061,0.8
