"N","true_pos","true_neg","false_pos","false_neg","true_positive_rate","true_negative_rate","false_positive_rate","false_negative_rate"
1005,1,989,11,4,0.2,0.989,0.011,0.8
1005,1,994,6,4,0.2,0.994,0.006,0.8
1005,4,994,6,1,0.8,0.994,0.006,0.2
1005,1,991,9,4,0.2,0.991,0.009,0.8
1005,2,995,5,3,0.4,0.995,0.005,0.6
1005,2,992,8,3,0.4,0.992,0.008,0.6
1005,2,992,8,3,0.4,0.992,0.008,0.6
1005,2,991,9,3,0.4,0.991,0.009,0.6
1005,4,994,6,1,0.8,0.994,0.006,0.2
1005,4,995,5,1,0.8,0.995,0.005,0.2
2005,4,1989,11,1,0.8,0.9945,0.0055,0.2
2005,1,1979,21,4,0.2,0.9895,0.0105,0.8
2005,4,1975,25,1,0.8,0.9875,0.0125,0.2
2005,4,1988,12,1,0.8,0.994,0.006,0.2
2005,3,1987,13,2,0.6,0.9935,0.0065,0.4
2005,5,1985,15,0,1,0.9925,0.0075,0
2005,4,1984,16,1,0.8,0.992,0.008,0.2
2005,3,1984,16,2,0.6,0.992,0.008,0.4
2005,4,1982,18,1,0.8,0.991,0.009,0.2
2005,3,1988,12,2,0.6,0.994,0.006,0.4
3005,1,2978,22,4,0.2,0.992666666666667,0.00733333333333333,0.8
3005,4,2981,19,1,0.8,0.993666666666667,0.00633333333333333,0.2
3005,4,2980,20,1,0.8,0.993333333333333,0.00666666666666667,0.2
3005,4,2972,28,1,0.8,0.990666666666667,0.00933333333333333,0.2
3005,4,2976,24,1,0.8,0.992,0.008,0.2
3005,3,2978,22,2,0.6,0.992666666666667,0.00733333333333333,0.4
3005,2,2976,24,3,0.4,0.992,0.008,0.6
3005,3,2975,25,2,0.6,0.991666666666667,0.00833333333333333,0.4
3005,5,2983,17,0,1,0.994333333333333,0.00566666666666667,0
3005,4,2977,23,1,0.8,0.992333333333333,0.00766666666666667,0.2
4005,3,3975,25,2,0.6,0.99375,0.00625,0.4
4005,2,3971,29,3,0.4,0.99275,0.00725,0.6
4005,5,3974,26,0,1,0.9935,0.0065,0
4005,3,3962,38,2,0.6,0.9905,0.0095,0.4
4005,4,3978,22,1,0.8,0.9945,0.0055,0.2
4005,2,3977,23,3,0.4,0.99425,0.00575,0.6
4005,4,3974,26,1,0.8,0.9935,0.0065,0.2
4005,3,3964,36,2,0.6,0.991,0.009,0.4
4005,2,3974,26,3,0.4,0.9935,0.0065,0.6
4005,3,3973,27,2,0.6,0.99325,0.00675,0.4
5005,1,4963,37,4,0.2,0.9926,0.0074,0.8
5005,4,4969,31,1,0.8,0.9938,0.0062,0.2
5005,2,4960,40,3,0.4,0.992,0.008,0.6
5005,4,4971,29,1,0.8,0.9942,0.0058,0.2
5005,4,4968,32,1,0.8,0.9936,0.0064,0.2
5005,5,4945,55,0,1,0.989,0.011,0
5005,5,4964,36,0,1,0.9928,0.0072,0
5005,2,4966,34,3,0.4,0.9932,0.0068,0.6
5005,4,4962,38,1,0.8,0.9924,0.0076,0.2
5005,4,4966,34,1,0.8,0.9932,0.0068,0.2
6005,3,5960,40,2,0.6,0.993333333333333,0.00666666666666667,0.4
6005,3,5961,39,2,0.6,0.9935,0.0065,0.4
6005,2,5959,41,3,0.4,0.993166666666667,0.00683333333333333,0.6
6005,4,5963,37,1,0.8,0.993833333333333,0.00616666666666667,0.2
6005,4,5958,42,1,0.8,0.993,0.007,0.2
6005,4,5951,49,1,0.8,0.991833333333333,0.00816666666666667,0.2
6005,2,5954,46,3,0.4,0.992333333333333,0.00766666666666667,0.6
6005,3,5951,49,2,0.6,0.991833333333333,0.00816666666666667,0.4
6005,2,5964,36,3,0.4,0.994,0.006,0.6
