"N","true_pos","true_neg","false_pos","false_neg","true_positive_rate","true_negative_rate","false_positive_rate","false_negative_rate"
1005,0,996,4,5,0,0.996,0.004,1
1005,0,996,4,5,0,0.996,0.004,1
1005,1,994,6,4,0.2,0.994,0.006,0.8
1005,1,995,5,4,0.2,0.995,0.005,0.8
1005,2,996,4,3,0.4,0.996,0.004,0.6
1005,1,996,4,4,0.2,0.996,0.004,0.8
1005,2,996,4,3,0.4,0.996,0.004,0.6
1005,0,993,7,5,0,0.993,0.007,1
1005,2,997,3,3,0.4,0.997,0.003,0.6
1005,3,996,4,2,0.6,0.996,0.004,0.4
2005,3,1994,6,2,0.6,0.997,0.003,0.4
2005,0,1991,9,5,0,0.9955,0.0045,1
2005,0,1996,4,5,0,0.998,0.002,1
2005,4,1992,8,1,0.8,0.996,0.004,0.2
2005,3,1991,9,2,0.6,0.9955,0.0045,0.4
2005,3,1994,6,2,0.6,0.997,0.003,0.4
2005,2,1989,11,3,0.4,0.9945,0.0055,0.6
2005,2,1989,11,3,0.4,0.9945,0.0055,0.6
2005,3,1996,4,2,0.6,0.998,0.002,0.4
2005,3,1991,9,2,0.6,0.9955,0.0045,0.4
3005,0,2986,14,5,0,0.995333333333333,0.00466666666666667,1
3005,1,2986,14,4,0.2,0.995333333333333,0.00466666666666667,0.8
3005,4,2986,14,1,0.8,0.995333333333333,0.00466666666666667,0.2
3005,3,2989,11,2,0.6,0.996333333333333,0.00366666666666667,0.4
3005,4,2985,15,1,0.8,0.995,0.005,0.2
3005,3,2986,14,2,0.6,0.995333333333333,0.00466666666666667,0.4
3005,2,2987,13,3,0.4,0.995666666666667,0.00433333333333333,0.6
3005,1,2984,16,4,0.2,0.994666666666667,0.00533333333333333,0.8
3005,4,2985,15,1,0.8,0.995,0.005,0.2
3005,1,2985,15,4,0.2,0.995,0.005,0.8
4005,2,3976,24,3,0.4,0.994,0.006,0.6
4005,1,3981,19,4,0.2,0.99525,0.00475,0.8
4005,4,3980,20,1,0.8,0.995,0.005,0.2
4005,1,3976,24,4,0.2,0.994,0.006,0.8
4005,4,3981,19,1,0.8,0.99525,0.00475,0.2
4005,1,3984,16,4,0.2,0.996,0.004,0.8
4005,4,3982,18,1,0.8,0.9955,0.0045,0.2
4005,2,3979,21,3,0.4,0.99475,0.00525,0.6
4005,2,3981,19,3,0.4,0.99525,0.00475,0.6
4005,3,3981,19,2,0.6,0.99525,0.00475,0.4
5005,1,4971,29,4,0.2,0.9942,0.0058,0.8
5005,4,4975,25,1,0.8,0.995,0.005,0.2
5005,1,4971,29,4,0.2,0.9942,0.0058,0.8
5005,4,4978,22,1,0.8,0.9956,0.0044,0.2
5005,4,4973,27,1,0.8,0.9946,0.0054,0.2
5005,4,4980,20,1,0.8,0.996,0.004,0.2
5005,5,4975,25,0,1,0.995,0.005,0
5005,1,4975,25,4,0.2,0.995,0.005,0.8
5005,4,4975,25,1,0.8,0.995,0.005,0.2
5005,3,4978,22,2,0.6,0.9956,0.0044,0.4
6005,3,5970,30,2,0.6,0.995,0.005,0.4
6005,3,5969,31,2,0.6,0.994833333333333,0.00516666666666667,0.4
6005,1,5969,31,4,0.2,0.994833333333333,0.00516666666666667,0.8
6005,3,5967,33,2,0.6,0.9945,0.0055,0.4
6005,4,5974,26,1,0.8,0.995666666666667,0.00433333333333333,0.2
6005,4,5974,26,1,0.8,0.995666666666667,0.00433333333333333,0.2
6005,1,5971,29,4,0.2,0.995166666666667,0.00483333333333333,0.8
6005,2,5964,36,3,0.4,0.994,0.006,0.6
6005,2,5969,31,3,0.4,0.994833333333333,0.00516666666666667,0.6
6005,4,5969,31,1,0.8,0.994833333333333,0.00516666666666667,0.2
7005,1,6963,37,4,0.2,0.994714285714286,0.00528571428571429,0.8
7005,2,6962,38,3,0.4,0.994571428571429,0.00542857142857143,0.6
7005,2,6963,37,3,0.4,0.994714285714286,0.00528571428571429,0.6
7005,3,6963,37,2,0.6,0.994714285714286,0.00528571428571429,0.4
7005,3,6961,39,2,0.6,0.994428571428571,0.00557142857142857,0.4
7005,2,6960,40,3,0.4,0.994285714285714,0.00571428571428571,0.6
7005,3,6968,32,2,0.6,0.995428571428571,0.00457142857142857,0.4
7005,3,6966,34,2,0.6,0.995142857142857,0.00485714285714286,0.4
7005,4,6969,31,1,0.8,0.995571428571429,0.00442857142857143,0.2
7005,3,6964,36,2,0.6,0.994857142857143,0.00514285714285714,0.4
