"Iteration","Algorithm","Metric","mean","se"
1,"stray","Fmeasure",0,0
1,"lookoutNew","Fmeasure",0,0
1,"lookoutOld","Fmeasure",0,0
1,"HDoutliers","Fmeasure",0,0
2,"stray","Fmeasure",0,0
2,"lookoutNew","Fmeasure",0,0
2,"lookoutOld","Fmeasure",0,0
2,"HDoutliers","Fmeasure",0,0
3,"stray","Fmeasure",0,0
3,"lookoutNew","Fmeasure",0,0
3,"lookoutOld","Fmeasure",0,0
3,"HDoutliers","Fmeasure",0,0
4,"stray","Fmeasure",0,0
4,"lookoutNew","Fmeasure",0,0
4,"lookoutOld","Fmeasure",0,0
4,"HDoutliers","Fmeasure",0,0
5,"stray","Fmeasure",0,0
5,"lookoutNew","Fmeasure",0.0153846153846154,0.0153846153846154
5,"lookoutOld","Fmeasure",0,0
5,"HDoutliers","Fmeasure",0,0
6,"stray","Fmeasure",0,0
6,"lookoutNew","Fmeasure",0.0307692307692308,0.0205128205128205
6,"lookoutOld","Fmeasure",0,0
6,"HDoutliers","Fmeasure",0,0
7,"stray","Fmeasure",0,0
7,"lookoutNew","Fmeasure",0.0769230769230769,0.0344010458076891
7,"lookoutOld","Fmeasure",0,0
7,"HDoutliers","Fmeasure",0,0
8,"stray","Fmeasure",0,0
8,"lookoutNew","Fmeasure",0.12995337995338,0.060312292330039
8,"lookoutOld","Fmeasure",0.0181818181818182,0.0181818181818182
8,"HDoutliers","Fmeasure",0.075,0.075
9,"stray","Fmeasure",0,0
9,"lookoutNew","Fmeasure",0.204129204129204,0.0641505116731128
9,"lookoutOld","Fmeasure",0.0181818181818182,0.0181818181818182
9,"HDoutliers","Fmeasure",0.132142857142857,0.0890950344860365
10,"stray","Fmeasure",0,0
10,"lookoutNew","Fmeasure",0.363664113664114,0.0718916532872694
10,"lookoutOld","Fmeasure",0.0181818181818182,0.0181818181818182
10,"HDoutliers","Fmeasure",0.16547619047619,0.089834293576246
1,"stray","Gmean",0,0
1,"lookoutNew","Gmean",0,0
1,"lookoutOld","Gmean",0,0
1,"HDoutliers","Gmean",0,0
2,"stray","Gmean",0,0
2,"lookoutNew","Gmean",0,0
2,"lookoutOld","Gmean",0,0
2,"HDoutliers","Gmean",0,0
3,"stray","Gmean",0,0
3,"lookoutNew","Gmean",0,0
3,"lookoutOld","Gmean",0,0
3,"HDoutliers","Gmean",0,0
4,"stray","Gmean",0,0
4,"lookoutNew","Gmean",0,0
4,"lookoutOld","Gmean",0,0
4,"HDoutliers","Gmean",0,0
5,"stray","Gmean",0,0
5,"lookoutNew","Gmean",0.0445252737217864,0.0445252737217864
5,"lookoutOld","Gmean",0,0
5,"HDoutliers","Gmean",0,0
6,"stray","Gmean",0,0
6,"lookoutNew","Gmean",0.0890505474435727,0.0593670316290485
6,"lookoutOld","Gmean",0,0
6,"HDoutliers","Gmean",0,0
7,"stray","Gmean",0,0
7,"lookoutNew","Gmean",0.196583757173453,0.0820093669552238
7,"lookoutOld","Gmean",0,0
7,"HDoutliers","Gmean",0,0
8,"stray","Gmean",0,0
8,"lookoutNew","Gmean",0.267460217135094,0.0985957133675182
8,"lookoutOld","Gmean",0.0445813862503175,0.0445813862503175
8,"HDoutliers","Gmean",0.0774596669241483,0.0774596669241484
9,"stray","Gmean",0,0
9,"lookoutNew","Gmean",0.43008920256567,0.090276290622133
9,"lookoutOld","Gmean",0.0445813862503175,0.0445813862503175
9,"HDoutliers","Gmean",0.140705220127516,0.0943998829029802
10,"stray","Gmean",0,0
10,"lookoutNew","Gmean",0.629248673595114,0.0949245939205254
10,"lookoutOld","Gmean",0.0445813862503175,0.0445813862503175
10,"HDoutliers","Gmean",0.185426579677512,0.0975345998716463
1,"kdeos","AUC",0.312199999999999,0.0232861964357519
1,"lookoutNew","AUC",0.4536125,0.012834096974033
1,"lookoutOld","AUC",0.4582375,0.0129966268326736
1,"rdos","AUC",0.23015,0.0426154184408516
2,"kdeos","AUC",0.293324999999999,0.0302887045777791
2,"lookoutNew","AUC",0.46225,0.0143279180661778
2,"lookoutOld","AUC",0.458175,0.0130055169917315
2,"rdos","AUC",0.224475,0.0371900421633414
3,"kdeos","AUC",0.314974999999999,0.0322888751481578
3,"lookoutNew","AUC",0.473274999999999,0.0155694880562376
3,"lookoutOld","AUC",0.4675125,0.0143458938424513
3,"rdos","AUC",0.2669,0.053870693950112
4,"kdeos","AUC",0.352974999999999,0.0275002638876228
4,"lookoutNew","AUC",0.503674999999999,0.0291169111323449
4,"lookoutOld","AUC",0.4693,0.0151464058809707
4,"rdos","AUC",0.230375000000001,0.0419210609028712
5,"kdeos","AUC",0.393674999999999,0.0274288486107436
5,"lookoutNew","AUC",0.554199999999999,0.0322328022620848
5,"lookoutOld","AUC",0.478987499999999,0.0162613576761663
5,"rdos","AUC",0.222625,0.0348643054092101
6,"kdeos","AUC",0.411749999999999,0.0263161336234804
