"method","outrate","outliers","N","name","value"
"Old lookout",0.1,10,510,"True Positives",0
"Old lookout",0.1,10,510,"True Negatives",500
"Old lookout",0.1,10,510,"False Positives",0
"Old lookout",0.1,10,510,"False Negatives",10
"Old lookout",0.2,10,510,"True Positives",6
"Old lookout",0.2,10,510,"True Negatives",500
"Old lookout",0.2,10,510,"False Positives",0
"Old lookout",0.2,10,510,"False Negatives",4
"Old lookout",0.3,10,510,"True Positives",4
"Old lookout",0.3,10,510,"True Negatives",500
"Old lookout",0.3,10,510,"False Positives",0
"Old lookout",0.3,10,510,"False Negatives",6
"Old lookout",0.4,10,510,"True Positives",4
"Old lookout",0.4,10,510,"True Negatives",500
"Old lookout",0.4,10,510,"False Positives",0
"Old lookout",0.4,10,510,"False Negatives",6
"Old lookout",0.1,10,510,"True Positives",0
"Old lookout",0.1,10,510,"True Negatives",500
"Old lookout",0.1,10,510,"False Positives",0
"Old lookout",0.1,10,510,"False Negatives",10
"Old lookout",0.2,10,510,"True Positives",3
"Old lookout",0.2,10,510,"True Negatives",500
"Old lookout",0.2,10,510,"False Positives",0
"Old lookout",0.2,10,510,"False Negatives",7
"Old lookout",0.3,10,510,"True Positives",4
"Old lookout",0.3,10,510,"True Negatives",500
"Old lookout",0.3,10,510,"False Positives",0
"Old lookout",0.3,10,510,"False Negatives",6
"Old lookout",0.4,10,510,"True Positives",0
"Old lookout",0.4,10,510,"True Negatives",500
"Old lookout",0.4,10,510,"False Positives",0
"Old lookout",0.4,10,510,"False Negatives",10
"Old lookout",0.1,10,510,"True Positives",0
"Old lookout",0.1,10,510,"True Negatives",500
"Old lookout",0.1,10,510,"False Positives",0
"Old lookout",0.1,10,510,"False Negatives",10
"Old lookout",0.2,10,510,"True Positives",6
"Old lookout",0.2,10,510,"True Negatives",500
"Old lookout",0.2,10,510,"False Positives",0
"Old lookout",0.2,10,510,"False Negatives",4
"Old lookout",0.3,10,510,"True Positives",4
"Old lookout",0.3,10,510,"True Negatives",500
"Old lookout",0.3,10,510,"False Positives",0
"Old lookout",0.3,10,510,"False Negatives",6
"Old lookout",0.4,10,510,"True Positives",4
"Old lookout",0.4,10,510,"True Negatives",500
"Old lookout",0.4,10,510,"False Positives",0
"Old lookout",0.4,10,510,"False Negatives",6
"Old lookout",0.1,10,510,"True Positives",0
"Old lookout",0.1,10,510,"True Negatives",500
"Old lookout",0.1,10,510,"False Positives",0
"Old lookout",0.1,10,510,"False Negatives",10
"Old lookout",0.2,10,510,"True Positives",0
