"Algo","mm","N","true_pos","true_neg","false_pos","false_neg","specificity"
"New lookout",2.5,1010,0,998,2,10,0.998
"New lookout",2.5,1010,4,995,5,6,0.995
"New lookout",2.5,1010,1,994,6,9,0.994
"New lookout",2.5,1010,6,995,5,4,0.995
"New lookout",2.5,1010,0,998,2,10,0.998
"New lookout",2.5,1010,5,996,4,5,0.996
"New lookout",2.5,1010,0,998,2,10,0.998
"New lookout",2.5,1010,3,993,7,7,0.993
"New lookout",2.5,1010,4,992,8,6,0.992
"New lookout",2.5,1010,0,995,5,10,0.995
"New lookout",2.5,1010,2,994,6,8,0.994
"New lookout",2.5,1010,1,996,4,9,0.996
"New lookout",2.5,1010,2,997,3,8,0.997
"New lookout",2.5,1010,0,994,6,10,0.994
"New lookout",2.5,1010,4,994,6,6,0.994
"New lookout",2.5,1010,0,997,3,10,0.997
"New lookout",2.5,1010,0,993,7,10,0.993
"New lookout",2.5,1010,3,995,5,7,0.995
"New lookout",2.5,1010,0,999,1,10,0.999
"New lookout",2.5,1010,0,997,3,10,0.997
"New lookout",2.75,1010,1,998,2,9,0.998
"New lookout",2.75,1010,10,996,4,0,0.996
"New lookout",2.75,1010,10,997,3,0,0.997
"New lookout",2.75,1010,1,996,4,9,0.996
"New lookout",2.75,1010,6,995,5,4,0.995
"New lookout",2.75,1010,2,993,7,8,0.993
"New lookout",2.75,1010,5,995,5,5,0.995
"New lookout",2.75,1010,2,993,7,8,0.993
"New lookout",2.75,1010,9,997,3,1,0.997
"New lookout",2.75,1010,5,995,5,5,0.995
"New lookout",2.75,1010,0,997,3,10,0.997
"New lookout",2.75,1010,1,995,5,9,0.995
"New lookout",2.75,1010,4,993,7,6,0.993
"New lookout",2.75,1010,0,994,6,10,0.994
"New lookout",2.75,1010,6,997,3,4,0.997
"New lookout",2.75,1010,0,999,1,10,0.999
"New lookout",2.75,1010,10,996,4,0,0.996
"New lookout",2.75,1010,0,995,5,10,0.995
"New lookout",2.75,1010,0,998,2,10,0.998
"New lookout",2.75,1010,1,998,2,9,0.998
"New lookout",3,1010,7,996,4,3,0.996
"New lookout",3,1010,10,998,2,0,0.998
"New lookout",3,1010,10,995,5,0,0.995
"New lookout",3,1010,0,999,1,10,0.999
"New lookout",3,1010,10,994,6,0,0.994
"New lookout",3,1010,10,995,5,0,0.995
"New lookout",3,1010,10,995,5,0,0.995
"New lookout",3,1010,10,996,4,0,0.996
"New lookout",3,1010,10,997,3,0,0.997
"New lookout",3,1010,10,997,3,0,0.997
"New lookout",3,1010,10,996,4,0,0.996
"New lookout",3,1010,10,997,3,0,0.997
"New lookout",3,1010,10,998,2,0,0.998
"New lookout",3,1010,9,997,3,1,0.997
"New lookout",3,1010,10,995,5,0,0.995
"New lookout",3,1010,9,997,3,1,0.997
"New lookout",3,1010,9,997,3,1,0.997
"New lookout",3,1010,0,995,5,10,0.995
"New lookout",3,1010,10,994,6,0,0.994
"New lookout",3,1010,9,997,3,1,0.997
"New lookout",3.25,1010,0,1000,0,10,1
"New lookout",3.25,1010,10,997,3,0,0.997
"New lookout",3.25,1010,10,997,3,0,0.997
"New lookout",3.25,1010,10,997,3,0,0.997
"New lookout",3.25,1010,10,997,3,0,0.997
"New lookout",3.25,1010,10,997,3,0,0.997
"New lookout",3.25,1010,10,995,5,0,0.995
"New lookout",3.25,1010,10,995,5,0,0.995
"New lookout",3.25,1010,10,995,5,0,0.995
"New lookout",3.25,1010,1,995,5,9,0.995
"New lookout",3.25,1010,10,997,3,0,0.997
"New lookout",3.25,1010,10,997,3,0,0.997
"New lookout",3.25,1010,10,994,6,0,0.994
"New lookout",3.25,1010,10,997,3,0,0.997
"New lookout",3.25,1010,10,997,3,0,0.997
"New lookout",3.25,1010,10,996,4,0,0.996
"New lookout",3.25,1010,0,995,5,10,0.995
"New lookout",3.25,1010,10,996,4,0,0.996
"New lookout",3.25,1010,10,998,2,0,0.998
"New lookout",3.25,1010,10,998,2,0,0.998
"New lookout",3.5,1010,10,997,3,0,0.997
"New lookout",3.5,1010,10,996,4,0,0.996
"New lookout",3.5,1010,10,998,2,0,0.998
"New lookout",3.5,1010,10,995,5,0,0.995
"New lookout",3.5,1010,10,997,3,0,0.997
"New lookout",3.5,1010,10,997,3,0,0.997
"New lookout",3.5,1010,10,997,3,0,0.997
"New lookout",3.5,1010,10,999,1,0,0.999
"New lookout",3.5,1010,10,999,1,0,0.999
"New lookout",3.5,1010,10,996,4,0,0.996
"New lookout",3.5,1010,10,998,2,0,0.998
"New lookout",3.5,1010,10,997,3,0,0.997
"New lookout",3.5,1010,10,997,3,0,0.997
"New lookout",3.5,1010,10,998,2,0,0.998
"New lookout",3.5,1010,0,995,5,10,0.995
"New lookout",3.5,1010,10,997,3,0,0.997
"New lookout",3.5,1010,10,998,2,0,0.998
"New lookout",3.5,1010,10,998,2,0,0.998
"New lookout",3.5,1010,10,998,2,0,0.998
"New lookout",3.5,1010,10,994,6,0,0.994
"New lookout",3.75,1010,10,995,5,0,0.995
"New lookout",3.75,1010,10,998,2,0,0.998
"New lookout",3.75,1010,10,999,1,0,0.999
"New lookout",3.75,1010,10,997,3,0,0.997
"New lookout",3.75,1010,10,997,3,0,0.997
"New lookout",3.75,1010,10,998,2,0,0.998
"New lookout",3.75,1010,10,998,2,0,0.998
"New lookout",3.75,1010,10,994,6,0,0.994
"New lookout",3.75,1010,10,997,3,0,0.997
"New lookout",3.75,1010,10,998,2,0,0.998
"New lookout",3.75,1010,10,998,2,0,0.998
"New lookout",3.75,1010,10,995,5,0,0.995
"New lookout",3.75,1010,10,998,2,0,0.998
"New lookout",3.75,1010,10,994,6,0,0.994
"New lookout",3.75,1010,10,998,2,0,0.998
"New lookout",3.75,1010,10,997,3,0,0.997
"New lookout",3.75,1010,10,997,3,0,0.997
"New lookout",3.75,1010,10,997,3,0,0.997
"New lookout",3.75,1010,10,996,4,0,0.996
"New lookout",3.75,1010,10,997,3,0,0.997
"New lookout",4,1010,10,997,3,0,0.997
"New lookout",4,1010,10,996,4,0,0.996
"New lookout",4,1010,10,996,4,0,0.996
"New lookout",4,1010,10,998,2,0,0.998
"New lookout",4,1010,10,996,4,0,0.996
"New lookout",4,1010,10,998,2,0,0.998
"New lookout",4,1010,10,996,4,0,0.996
"New lookout",4,1010,10,995,5,0,0.995
"New lookout",4,1010,10,998,2,0,0.998
"New lookout",4,1010,10,996,4,0,0.996
"New lookout",4,1010,10,999,1,0,0.999
"New lookout",4,1010,10,998,2,0,0.998
"New lookout",4,1010,10,995,5,0,0.995
"New lookout",4,1010,10,998,2,0,0.998
"New lookout",4,1010,10,996,4,0,0.996
"New lookout",4,1010,10,998,2,0,0.998
"New lookout",4,1010,10,997,3,0,0.997
"New lookout",4,1010,10,997,3,0,0.997
"New lookout",4,1010,10,996,4,0,0.996
"New lookout",4,1010,10,997,3,0,0.997
"Old lookout",2.5,1010,0,995,5,10,0.995
"Old lookout",2.5,1010,2,994,6,8,0.994
"Old lookout",2.5,1010,0,998,2,10,0.998
"Old lookout",2.5,1010,0,998,2,10,0.998
"Old lookout",2.5,1010,1,993,7,9,0.993
"Old lookout",2.5,1010,1,997,3,9,0.997
"Old lookout",2.5,1010,0,996,4,10,0.996
"Old lookout",2.5,1010,0,994,6,10,0.994
"Old lookout",2.5,1010,2,996,4,8,0.996
"Old lookout",2.5,1010,0,993,7,10,0.993
"Old lookout",2.5,1010,1,998,2,9,0.998
"Old lookout",2.5,1010,0,995,5,10,0.995
"Old lookout",2.5,1010,5,996,4,5,0.996
"Old lookout",2.5,1010,0,994,6,10,0.994
"Old lookout",2.5,1010,0,994,6,10,0.994
"Old lookout",2.5,1010,0,997,3,10,0.997
"Old lookout",2.5,1010,2,998,2,8,0.998
"Old lookout",2.5,1010,3,997,3,7,0.997
"Old lookout",2.5,1010,0,995,5,10,0.995
"Old lookout",2.5,1010,3,996,4,7,0.996
"Old lookout",2.75,1010,0,999,1,10,0.999
"Old lookout",2.75,1010,0,999,1,10,0.999
"Old lookout",2.75,1010,2,998,2,8,0.998
"Old lookout",2.75,1010,1,998,2,9,0.998
"Old lookout",2.75,1010,0,998,2,10,0.998
"Old lookout",2.75,1010,3,998,2,7,0.998
"Old lookout",2.75,1010,0,996,4,10,0.996
"Old lookout",2.75,1010,9,999,1,1,0.999
"Old lookout",2.75,1010,0,997,3,10,0.997
"Old lookout",2.75,1010,0,999,1,10,0.999
"Old lookout",2.75,1010,0,995,5,10,0.995
"Old lookout",2.75,1010,0,999,1,10,0.999
"Old lookout",2.75,1010,4,997,3,6,0.997
"Old lookout",2.75,1010,2,996,4,8,0.996
"Old lookout",2.75,1010,0,996,4,10,0.996
"Old lookout",2.75,1010,7,995,5,3,0.995
"Old lookout",2.75,1010,0,998,2,10,0.998
"Old lookout",2.75,1010,2,998,2,8,0.998
"Old lookout",2.75,1010,0,998,2,10,0.998
"Old lookout",2.75,1010,0,998,2,10,0.998
"Old lookout",3,1010,0,997,3,10,0.997
"Old lookout",3,1010,6,998,2,4,0.998
"Old lookout",3,1010,10,998,2,0,0.998
"Old lookout",3,1010,10,999,1,0,0.999
"Old lookout",3,1010,0,994,6,10,0.994
"Old lookout",3,1010,8,998,2,2,0.998
"Old lookout",3,1010,1,999,1,9,0.999
"Old lookout",3,1010,4,997,3,6,0.997
"Old lookout",3,1010,1,997,3,9,0.997
"Old lookout",3,1010,0,1000,0,10,1
"Old lookout",3,1010,0,998,2,10,0.998
"Old lookout",3,1010,10,998,2,0,0.998
"Old lookout",3,1010,0,995,5,10,0.995
"Old lookout",3,1010,10,999,1,0,0.999
"Old lookout",3,1010,10,998,2,0,0.998
"Old lookout",3,1010,0,1000,0,10,1
"Old lookout",3,1010,4,999,1,6,0.999
"Old lookout",3,1010,6,999,1,4,0.999
"Old lookout",3,1010,0,998,2,10,0.998
"Old lookout",3,1010,8,1000,0,2,1
"Old lookout",3.25,1010,10,999,1,0,0.999
"Old lookout",3.25,1010,0,997,3,10,0.997
"Old lookout",3.25,1010,10,999,1,0,0.999
"Old lookout",3.25,1010,10,998,2,0,0.998
"Old lookout",3.25,1010,0,999,1,10,0.999
"Old lookout",3.25,1010,9,999,1,1,0.999
"Old lookout",3.25,1010,0,998,2,10,0.998
"Old lookout",3.25,1010,0,995,5,10,0.995
"Old lookout",3.25,1010,0,1000,0,10,1
"Old lookout",3.25,1010,8,999,1,2,0.999
"Old lookout",3.25,1010,4,999,1,6,0.999
"Old lookout",3.25,1010,10,999,1,0,0.999
"Old lookout",3.25,1010,10,997,3,0,0.997
"Old lookout",3.25,1010,9,999,1,1,0.999
"Old lookout",3.25,1010,0,1000,0,10,1
"Old lookout",3.25,1010,1,997,3,9,0.997
"Old lookout",3.25,1010,5,999,1,5,0.999
"Old lookout",3.25,1010,10,1000,0,0,1
"Old lookout",3.25,1010,2,997,3,8,0.997
"Old lookout",3.25,1010,4,999,1,6,0.999
"Old lookout",3.5,1010,10,1000,0,0,1
"Old lookout",3.5,1010,10,998,2,0,0.998
"Old lookout",3.5,1010,10,999,1,0,0.999
"Old lookout",3.5,1010,10,999,1,0,0.999
"Old lookout",3.5,1010,10,999,1,0,0.999
"Old lookout",3.5,1010,10,999,1,0,0.999
"Old lookout",3.5,1010,10,999,1,0,0.999
"Old lookout",3.5,1010,10,999,1,0,0.999
"Old lookout",3.5,1010,0,998,2,10,0.998
"Old lookout",3.5,1010,10,999,1,0,0.999
"Old lookout",3.5,1010,10,1000,0,0,1
"Old lookout",3.5,1010,10,998,2,0,0.998
"Old lookout",3.5,1010,0,1000,0,10,1
"Old lookout",3.5,1010,0,998,2,10,0.998
"Old lookout",3.5,1010,0,997,3,10,0.997
"Old lookout",3.5,1010,10,999,1,0,0.999
"Old lookout",3.5,1010,0,999,1,10,0.999
"Old lookout",3.5,1010,2,998,2,8,0.998
"Old lookout",3.5,1010,9,999,1,1,0.999
"Old lookout",3.5,1010,10,999,1,0,0.999
"Old lookout",3.75,1010,10,999,1,0,0.999
"Old lookout",3.75,1010,10,1000,0,0,1
"Old lookout",3.75,1010,10,999,1,0,0.999
"Old lookout",3.75,1010,4,1000,0,6,1
"Old lookout",3.75,1010,2,999,1,8,0.999
"Old lookout",3.75,1010,10,999,1,0,0.999
"Old lookout",3.75,1010,10,999,1,0,0.999
"Old lookout",3.75,1010,10,999,1,0,0.999
"Old lookout",3.75,1010,10,1000,0,0,1
"Old lookout",3.75,1010,10,999,1,0,0.999
"Old lookout",3.75,1010,10,999,1,0,0.999
"Old lookout",3.75,1010,10,999,1,0,0.999
"Old lookout",3.75,1010,10,999,1,0,0.999
"Old lookout",3.75,1010,3,999,1,7,0.999
"Old lookout",3.75,1010,10,1000,0,0,1
"Old lookout",3.75,1010,0,1000,0,10,1
"Old lookout",3.75,1010,10,1000,0,0,1
"Old lookout",3.75,1010,9,999,1,1,0.999
"Old lookout",3.75,1010,10,999,1,0,0.999
"Old lookout",3.75,1010,10,1000,0,0,1
"Old lookout",4,1010,10,999,1,0,0.999
"Old lookout",4,1010,10,1000,0,0,1
"Old lookout",4,1010,10,1000,0,0,1
"Old lookout",4,1010,10,999,1,0,0.999
"Old lookout",4,1010,0,999,1,10,0.999
"Old lookout",4,1010,10,999,1,0,0.999
"Old lookout",4,1010,10,999,1,0,0.999
"Old lookout",4,1010,10,1000,0,0,1
"Old lookout",4,1010,10,999,1,0,0.999
"Old lookout",4,1010,10,999,1,0,0.999
"Old lookout",4,1010,0,998,2,10,0.998
"Old lookout",4,1010,10,998,2,0,0.998
"Old lookout",4,1010,10,1000,0,0,1
"Old lookout",4,1010,10,998,2,0,0.998
"Old lookout",4,1010,10,999,1,0,0.999
"Old lookout",4,1010,10,999,1,0,0.999
"Old lookout",4,1010,10,999,1,0,0.999
"Old lookout",4,1010,10,1000,0,0,1
"Old lookout",4,1010,10,999,1,0,0.999
"Old lookout",4,1010,10,1000,0,0,1
