"outrate","outliers","N","true_pos","true_neg","false_pos","false_neg","true_positive_rate","true_negative_rate","false_positive_rate","false_negative_rate","accuracy","sensitivity","specificity","gmean","precision","recall","fmeasure"
0.1,10,510,7,500,0,3,0.7,1,0,0.3,0.994117647058824,0.7,1,0.836660026534076,1,0.7,0.823529411764706
0.2,10,510,9,500,0,1,0.9,1,0,0.1,0.998039215686275,0.9,1,0.948683298050514,1,0.9,0.947368421052632
0.3,10,510,6,499,1,4,0.6,0.998,0.002,0.4,0.990196078431373,0.6,0.998,0.773821684886124,0.857142857142857,0.6,0.705882352941176
0.4,10,510,8,500,0,2,0.8,1,0,0.2,0.996078431372549,0.8,1,0.894427190999916,1,0.8,0.888888888888889
0.5,10,510,6,499,1,4,0.6,0.998,0.002,0.4,0.990196078431373,0.6,0.998,0.773821684886124,0.857142857142857,0.6,0.705882352941176
0.6,10,510,6,498,2,4,0.6,0.996,0.004,0.4,0.988235294117647,0.6,0.996,0.773045923603508,0.75,0.6,0.666666666666667
0.7,10,510,2,495,5,8,0.2,0.99,0.01,0.8,0.974509803921569,0.2,0.99,0.44497190922574,0.285714285714286,0.2,0.235294117647059
0.8,10,510,6,499,1,4,0.6,0.998,0.002,0.4,0.990196078431373,0.6,0.998,0.773821684886124,0.857142857142857,0.6,0.705882352941176
0.9,10,510,4,499,1,6,0.4,0.998,0.002,0.6,0.986274509803922,0.4,0.998,0.631822759957253,0.8,0.4,0.533333333333333
1,10,510,1,496,4,9,0.1,0.992,0.008,0.9,0.974509803921569,0.1,0.992,0.314960314960472,0.2,0.1,0.133333333333333
0.1,10,510,10,500,0,0,1,1,0,0,1,1,1,1,1,1,1
0.2,10,510,9,500,0,1,0.9,1,0,0.1,0.998039215686275,0.9,1,0.948683298050514,1,0.9,0.947368421052632
0.3,10,510,6,499,1,4,0.6,0.998,0.002,0.4,0.990196078431373,0.6,0.998,0.773821684886124,0.857142857142857,0.6,0.705882352941176
0.4,10,510,3,495,5,7,0.3,0.99,0.01,0.7,0.976470588235294,0.3,0.99,0.544977063737549,0.375,0.3,0.333333333333333
0.5,10,510,7,499,1,3,0.7,0.998,0.002,0.3,0.992156862745098,0.7,0.998,0.835822947758674,0.875,0.7,0.777777777777778
0.6,10,510,4,496,4,6,0.4,0.992,0.008,0.6,0.980392156862745,0.4,0.992,0.629920629920945,0.5,0.4,0.444444444444444
0.7,10,510,1,493,7,9,0.1,0.986,0.014,0.9,0.968627450980392,0.1,0.986,0.314006369362152,0.125,0.1,0.111111111111111
0.8,10,510,4,497,3,6,0.4,0.994,0.006,0.6,0.982352941176471,0.4,0.994,0.630555310817378,0.571428571428571,0.4,0.470588235294118
0.9,10,510,4,497,3,6,0.4,0.994,0.006,0.6,0.982352941176471,0.4,0.994,0.630555310817378,0.571428571428571,0.4,0.470588235294118
1,10,510,3,496,4,7,0.3,0.992,0.008,0.7,0.97843137254902,0.3,0.992,0.545527267879434,0.428571428571429,0.3,0.352941176470588
0.1,10,510,7,500,0,3,0.7,1,0,0.3,0.994117647058824,0.7,1,0.836660026534076,1,0.7,0.823529411764706
0.2,10,510,9,500,0,1,0.9,1,0,0.1,0.998039215686275,0.9,1,0.948683298050514,1,0.9,0.947368421052632
0.3,10,510,8,500,0,2,0.8,1,0,0.2,0.996078431372549,0.8,1,0.894427190999916,1,0.8,0.888888888888889
0.4,10,510,7,500,0,3,0.7,1,0,0.3,0.994117647058824,0.7,1,0.836660026534076,1,0.7,0.823529411764706
0.5,10,510,6,497,3,4,0.6,0.994,0.006,0.4,0.986274509803922,0.6,0.994,0.772269383052313,0.666666666666667,0.6,0.631578947368421
