"mean","outliers","N","true_pos","true_neg","false_pos","false_neg","true_positive_rate","true_negative_rate","false_positive_rate","false_negative_rate","accuracy","sensitivity","specificity","gmean","precision","recall","fmeasure"
2.5,10,1010,6,992,8,4,0.6,0.992,0.008,0.4,0.988118811881188,0.6,0.992,0.771492060879436,0.428571428571429,0.6,0.5
2.75,10,1010,10,989,11,0,1,0.989,0.011,0,0.989108910891089,1,0.989,0.994484791236146,0.476190476190476,1,0.645161290322581
3,10,1010,10,999,1,0,1,0.999,0.001,0,0.999009900990099,1,0.999,0.999499874937461,0.909090909090909,1,0.952380952380952
3.25,10,1010,10,995,5,0,1,0.995,0.005,0,0.995049504950495,1,0.995,0.997496867163,0.666666666666667,1,0.8
3.5,10,1010,10,996,4,0,1,0.996,0.004,0,0.996039603960396,1,0.996,0.997997995989972,0.714285714285714,1,0.833333333333333
3.75,10,1010,10,996,4,0,1,0.996,0.004,0,0.996039603960396,1,0.996,0.997997995989972,0.714285714285714,1,0.833333333333333
4,10,1010,10,995,5,0,1,0.995,0.005,0,0.995049504950495,1,0.995,0.997496867163,0.666666666666667,1,0.8
2.5,10,1010,8,993,7,2,0.8,0.993,0.007,0.2,0.991089108910891,0.8,0.993,0.891291198206288,0.533333333333333,0.8,0.64
2.75,10,1010,10,996,4,0,1,0.996,0.004,0,0.996039603960396,1,0.996,0.997997995989972,0.714285714285714,1,0.833333333333333
3,10,1010,10,991,9,0,1,0.991,0.009,0,0.991089108910891,1,0.991,0.995489829179585,0.526315789473684,1,0.689655172413793
3.25,10,1010,10,998,2,0,1,0.998,0.002,0,0.998019801980198,1,0.998,0.998999499499374,0.833333333333333,1,0.909090909090909
3.5,10,1010,10,999,1,0,1,0.999,0.001,0,0.999009900990099,1,0.999,0.999499874937461,0.909090909090909,1,0.952380952380952
3.75,10,1010,10,995,5,0,1,0.995,0.005,0,0.995049504950495,1,0.995,0.997496867163,0.666666666666667,1,0.8
4,10,1010,10,995,5,0,1,0.995,0.005,0,0.995049504950495,1,0.995,0.997496867163,0.666666666666667,1,0.8
2.5,10,1010,7,994,6,3,0.7,0.994,0.006,0.3,0.991089108910891,0.7,0.994,0.834146270146909,0.538461538461538,0.7,0.608695652173913
2.75,10,1010,7,993,7,3,0.7,0.993,0.007,0.3,0.99009900990099,0.7,0.993,0.833726573883788,0.5,0.7,0.583333333333333
3,10,1010,10,992,8,0,1,0.992,0.008,0,0.992079207920792,1,0.992,0.995991967839099,0.555555555555556,1,0.714285714285714
3.25,10,1010,10,996,4,0,1,0.996,0.004,0,0.996039603960396,1,0.996,0.997997995989972,0.714285714285714,1,0.833333333333333
3.5,10,1010,10,998,2,0,1,0.998,0.002,0,0.998019801980198,1,0.998,0.998999499499374,0.833333333333333,1,0.909090909090909
3.75,10,1010,10,997,3,0,1,0.997,0.003,0,0.997029702970297,1,0.997,0.998498873309329,0.769230769230769,1,0.869565217391304
4,10,1010,10,995,5,0,1,0.995,0.005,0,0.995049504950495,1,0.995,0.997496867163,0.666666666666667,1,0.8
2.5,10,1010,9,993,7,1,0.9,0.993,0.007,0.1,0.992079207920792,0.9,0.993,0.945357075395324,0.5625,0.9,0.692307692307692
2.75,10,1010,10,990,10,0,1,0.99,0.01,0,0.99009900990099,1,0.99,0.99498743710662,0.5,1,0.666666666666667
3,10,1010,10,995,5,0,1,0.995,0.005,0,0.995049504950495,1,0.995,0.997496867163,0.666666666666667,1,0.8
3.25,10,1010,10,996,4,0,1,0.996,0.004,0,0.996039603960396,1,0.996,0.997997995989972,0.714285714285714,1,0.833333333333333
3.5,10,1010,10,997,3,0,1,0.997,0.003,0,0.997029702970297,1,0.997,0.998498873309329,0.769230769230769,1,0.869565217391304
3.75,10,1010,10,999,1,0,1,0.999,0.001,0,0.999009900990099,1,0.999,0.999499874937461,0.909090909090909,1,0.952380952380952
4,10,1010,10,996,4,0,1,0.996,0.004,0,0.996039603960396,1,0.996,0.997997995989972,0.714285714285714,1,0.833333333333333
2.5,10,1010,10,991,9,0,1,0.991,0.009,0,0.991089108910891,1,0.991,0.995489829179585,0.526315789473684,1,0.689655172413793
2.75,10,1010,10,993,7,0,1,0.993,0.007,0,0.993069306930693,1,0.993,0.996493853468249,0.588235294117647,1,0.740740740740741
3,10,1010,10,996,4,0,1,0.996,0.004,0,0.996039603960396,1,0.996,0.997997995989972,0.714285714285714,1,0.833333333333333
