"N","true_pos","true_neg","false_pos","false_neg","true_positive_rate","true_negative_rate","false_positive_rate","false_negative_rate","accuracy","sensitivity","specificity","gmean","precision","recall","fmeasure","Algo"
1005,2,991,9,3,0.4,0.991,0.009,0.6,0.988059701492537,0.4,0.991,0.629603049547888,0.181818181818182,0.4,0.25,"New_Lookout"
1005,2,986,14,3,0.4,0.986,0.014,0.6,0.983084577114428,0.4,0.986,0.628012738724303,0.125,0.4,0.19047619047619,"New_Lookout"
1005,3,990,10,2,0.6,0.99,0.01,0.4,0.988059701492537,0.6,0.99,0.770713954719908,0.230769230769231,0.6,0.333333333333333,"New_Lookout"
1005,4,991,9,1,0.8,0.991,0.009,0.2,0.990049751243781,0.8,0.991,0.890393171582083,0.307692307692308,0.8,0.444444444444444,"New_Lookout"
1005,3,989,11,2,0.6,0.989,0.011,0.4,0.987064676616915,0.6,0.989,0.77032460690283,0.214285714285714,0.6,0.315789473684211,"New_Lookout"
1005,3,990,10,2,0.6,0.99,0.01,0.4,0.988059701492537,0.6,0.99,0.770713954719908,0.230769230769231,0.6,0.333333333333333,"New_Lookout"
1005,5,992,8,0,1,0.992,0.008,0,0.992039800995025,1,0.992,0.995991967839099,0.384615384615385,1,0.555555555555556,"New_Lookout"
1005,3,989,11,2,0.6,0.989,0.011,0.4,0.987064676616915,0.6,0.989,0.77032460690283,0.214285714285714,0.6,0.315789473684211,"New_Lookout"
1005,2,984,16,3,0.4,0.984,0.016,0.6,0.981094527363184,0.4,0.984,0.627375485654325,0.111111111111111,0.4,0.173913043478261,"New_Lookout"
1005,4,990,10,1,0.8,0.99,0.01,0.2,0.989054726368159,0.8,0.99,0.88994381845148,0.285714285714286,0.8,0.421052631578947,"New_Lookout"
2010,8,1980,20,2,0.8,0.99,0.01,0.2,0.989054726368159,0.8,0.99,0.88994381845148,0.285714285714286,0.8,0.421052631578947,"New_Lookout"
2010,7,1979,21,3,0.7,0.9895,0.0105,0.3,0.988059701492537,0.7,0.9895,0.832255970239926,0.25,0.7,0.368421052631579,"New_Lookout"
2010,9,1979,21,1,0.9,0.9895,0.0105,0.1,0.989054726368159,0.9,0.9895,0.94368956760155,0.3,0.9,0.45,"New_Lookout"
2010,7,1979,21,3,0.7,0.9895,0.0105,0.3,0.988059701492537,0.7,0.9895,0.832255970239926,0.25,0.7,0.368421052631579,"New_Lookout"
2010,9,1978,22,1,0.9,0.989,0.011,0.1,0.988557213930348,0.9,0.989,0.943451111610983,0.290322580645161,0.9,0.439024390243902,"New_Lookout"
2010,9,1981,19,1,0.9,0.9905,0.0095,0.1,0.990049751243781,0.9,0.9905,0.944166298911373,0.321428571428571,0.9,0.473684210526316,"New_Lookout"
2010,4,1981,19,6,0.4,0.9905,0.0095,0.6,0.987562189054726,0.4,0.9905,0.629444199274249,0.173913043478261,0.4,0.242424242424242,"New_Lookout"
2010,8,1975,25,2,0.8,0.9875,0.0125,0.2,0.986567164179105,0.8,0.9875,0.888819441731559,0.242424242424242,0.8,0.372093023255814,"New_Lookout"
2010,8,1977,23,2,0.8,0.9885,0.0115,0.2,0.987562189054726,0.8,0.9885,0.889269363016628,0.258064516129032,0.8,0.390243902439024,"New_Lookout"
2010,8,1982,18,2,0.8,0.991,0.009,0.2,0.990049751243781,0.8,0.991,0.890393171582083,0.307692307692308,0.8,0.444444444444444,"New_Lookout"
3015,13,2973,27,2,0.866666666666667,0.991,0.009,0.133333333333333,0.990381426202322,0.866666666666667,0.991,0.926750595719618,0.325,0.866666666666667,0.472727272727273,"New_Lookout"
