"N","true_pos","true_neg","false_pos","false_neg","true_positive_rate","true_negative_rate","false_positive_rate","false_negative_rate","accuracy","sensitivity","specificity","gmean","precision","recall","fmeasure","Algo"
1005,5,988,12,0,1,0.988,0.012,0,0.988059701492537,1,0.988,0.993981891183134,0.294117647058824,1,0.454545454545455,"New_Lookout"
1005,4,993,7,1,0.8,0.993,0.007,0.2,0.992039800995025,0.8,0.993,0.891291198206288,0.363636363636364,0.8,0.5,"New_Lookout"
1005,2,993,7,3,0.4,0.993,0.007,0.6,0.990049751243781,0.4,0.993,0.630238050263549,0.222222222222222,0.4,0.285714285714286,"New_Lookout"
1005,4,989,11,1,0.8,0.989,0.011,0.2,0.988059701492537,0.8,0.989,0.889494238317483,0.266666666666667,0.8,0.4,"New_Lookout"
1005,4,990,10,1,0.8,0.99,0.01,0.2,0.989054726368159,0.8,0.99,0.88994381845148,0.285714285714286,0.8,0.421052631578947,"New_Lookout"
1005,5,987,13,0,1,0.987,0.013,0,0.987064676616915,1,0.987,0.993478736561583,0.277777777777778,1,0.434782608695652,"New_Lookout"
1005,3,992,8,2,0.6,0.992,0.008,0.4,0.990049751243781,0.6,0.992,0.771492060879436,0.272727272727273,0.6,0.375,"New_Lookout"
1005,5,986,14,0,1,0.986,0.014,0,0.986069651741294,1,0.986,0.992975326984513,0.263157894736842,1,0.416666666666667,"New_Lookout"
1005,3,992,8,2,0.6,0.992,0.008,0.4,0.990049751243781,0.6,0.992,0.771492060879436,0.272727272727273,0.6,0.375,"New_Lookout"
1005,5,990,10,0,1,0.99,0.01,0,0.990049751243781,1,0.99,0.99498743710662,0.333333333333333,1,0.5,"New_Lookout"
2010,9,1979,21,1,0.9,0.9895,0.0105,0.1,0.989054726368159,0.9,0.9895,0.94368956760155,0.3,0.9,0.45,"New_Lookout"
2010,9,1972,28,1,0.9,0.986,0.014,0.1,0.985572139303483,0.9,0.986,0.942019108086455,0.243243243243243,0.9,0.382978723404255,"New_Lookout"
2010,5,1983,17,5,0.5,0.9915,0.0085,0.5,0.989054726368159,0.5,0.9915,0.704095164022592,0.227272727272727,0.5,0.3125,"New_Lookout"
2010,9,1982,18,1,0.9,0.991,0.009,0.1,0.990547263681592,0.9,0.991,0.944404574321832,0.333333333333333,0.9,0.486486486486486,"New_Lookout"
2010,10,1978,22,0,1,0.989,0.011,0,0.989054726368159,1,0.989,0.994484791236146,0.3125,1,0.476190476190476,"New_Lookout"
2010,10,1978,22,0,1,0.989,0.011,0,0.989054726368159,1,0.989,0.994484791236146,0.3125,1,0.476190476190476,"New_Lookout"
2010,10,1979,21,0,1,0.9895,0.0105,0,0.98955223880597,1,0.9895,0.994736145920113,0.32258064516129,1,0.48780487804878,"New_Lookout"
2010,10,1975,25,0,1,0.9875,0.0125,0,0.987562189054726,1,0.9875,0.99373034571759,0.285714285714286,1,0.444444444444444,"New_Lookout"
2010,7,1978,22,3,0.7,0.989,0.011,0.3,0.987562189054726,0.7,0.989,0.832045671823368,0.241379310344828,0.7,0.358974358974359,"New_Lookout"
2010,10,1980,20,0,1,0.99,0.01,0,0.990049751243781,1,0.99,0.99498743710662,0.333333333333333,1,0.5,"New_Lookout"
3015,14,2967,33,1,0.933333333333333,0.989,0.011,0.0666666666666667,0.988723051409619,0.933333333333333,0.989,0.960763585210569,0.297872340425532,0.933333333333333,0.451612903225806,"New_Lookout"
3015,10,2985,15,5,0.666666666666667,0.995,0.005,0.333333333333333,0.993366500829187,0.666666666666667,0.995,0.814452781524708,0.4,0.666666666666667,0.5,"New_Lookout"
3015,15,2966,34,0,1,0.988666666666667,0.0113333333333333,0,0.988723051409619,1,0.988666666666667,0.994317186146688,0.306122448979592,1,0.46875,"New_Lookout"
3015,13,2968,32,2,0.866666666666667,0.989333333333333,0.0106666666666667,0.133333333333333,0.988723051409619,0.866666666666667,0.989333333333333,0.925970961867715,0.288888888888889,0.866666666666667,0.433333333333333,"New_Lookout"
3015,14,2965,35,1,0.933333333333333,0.988333333333333,0.0116666666666667,0.0666666666666667,0.988059701492537,0.933333333333333,0.988333333333333,0.960439714112471,0.285714285714286,0.933333333333333,0.4375,"New_Lookout"
3015,15,2968,32,0,1,0.989333333333333,0.0106666666666667,0,0.9893864013267,1,0.989333333333333,0.994652368083107,0.319148936170213,1,0.483870967741936,"New_Lookout"
3015,15,2964,36,0,1,0.988,0.012,0,0.988059701492537,1,0.988,0.993981891183134,0.294117647058824,1,0.454545454545455,"New_Lookout"
3015,13,2970,30,2,0.866666666666667,0.99,0.01,0.133333333333333,0.9893864013267,0.866666666666667,0.99,0.926282894152753,0.302325581395349,0.866666666666667,0.448275862068965,"New_Lookout"
3015,10,2982,18,5,0.666666666666667,0.994,0.006,0.333333333333333,0.992371475953565,0.666666666666667,0.994,0.814043405886115,0.357142857142857,0.666666666666667,0.465116279069767,"New_Lookout"
3015,8,2978,22,7,0.533333333333333,0.992666666666667,0.00733333333333333,0.466666666666667,0.990381426202322,0.533333333333333,0.992666666666667,0.727614061314254,0.266666666666667,0.533333333333333,0.355555555555556,"New_Lookout"
4020,18,3958,42,2,0.9,0.9895,0.0105,0.1,0.989054726368159,0.9,0.9895,0.94368956760155,0.3,0.9,0.45,"New_Lookout"
4020,20,3952,48,0,1,0.988,0.012,0,0.988059701492537,1,0.988,0.993981891183134,0.294117647058824,1,0.454545454545455,"New_Lookout"
4020,18,3964,36,2,0.9,0.991,0.009,0.1,0.990547263681592,0.9,0.991,0.944404574321832,0.333333333333333,0.9,0.486486486486486,"New_Lookout"
4020,12,3972,28,8,0.6,0.993,0.007,0.4,0.991044776119403,0.6,0.993,0.771880819816116,0.3,0.6,0.4,"New_Lookout"
4020,19,3952,48,1,0.95,0.988,0.012,0.05,0.987810945273632,0.95,0.988,0.968813707582629,0.283582089552239,0.95,0.436781609195402,"New_Lookout"
4020,15,3970,30,5,0.75,0.9925,0.0075,0.25,0.991293532338308,0.75,0.9925,0.86277169633687,0.333333333333333,0.75,0.461538461538462,"New_Lookout"
4020,14,3971,29,6,0.7,0.99275,0.00725,0.3,0.991293532338308,0.7,0.99275,0.833621616802252,0.325581395348837,0.7,0.444444444444445,"New_Lookout"
4020,19,3953,47,1,0.95,0.98825,0.01175,0.05,0.988059701492537,0.95,0.98825,0.968936272414239,0.287878787878788,0.95,0.441860465116279,"New_Lookout"
4020,18,3959,41,2,0.9,0.98975,0.01025,0.1,0.989303482587065,0.9,0.98975,0.943808773004362,0.305084745762712,0.9,0.455696202531646,"New_Lookout"
4020,19,3960,40,1,0.95,0.99,0.01,0.05,0.989800995024876,0.95,0.99,0.969793792514677,0.322033898305085,0.95,0.481012658227848,"New_Lookout"
5025,21,4962,38,4,0.84,0.9924,0.0076,0.16,0.991641791044776,0.84,0.9924,0.913025738958108,0.355932203389831,0.84,0.5,"New_Lookout"
5025,15,4974,26,10,0.6,0.9948,0.0052,0.4,0.992835820895522,0.6,0.9948,0.772580092935354,0.365853658536585,0.6,0.454545454545455,"New_Lookout"
5025,21,4957,43,4,0.84,0.9914,0.0086,0.16,0.990646766169154,0.84,0.9914,0.912565614079338,0.328125,0.84,0.471910112359551,"New_Lookout"
5025,18,4967,33,7,0.72,0.9934,0.0066,0.28,0.992039800995025,0.72,0.9934,0.845723359024687,0.352941176470588,0.72,0.473684210526316,"New_Lookout"
5025,20,4960,40,5,0.8,0.992,0.008,0.2,0.991044776119403,0.8,0.992,0.890842298052804,0.333333333333333,0.8,0.470588235294118,"New_Lookout"
5025,21,4939,61,4,0.84,0.9878,0.0122,0.16,0.987064676616915,0.84,0.9878,0.910907240063443,0.25609756097561,0.84,0.392523364485981,"New_Lookout"
5025,22,4956,44,3,0.88,0.9912,0.0088,0.12,0.990646766169154,0.88,0.9912,0.933946465275178,0.333333333333333,0.88,0.483516483516484,"New_Lookout"
5025,23,4946,54,2,0.92,0.9892,0.0108,0.08,0.988855721393035,0.92,0.9892,0.953972745941937,0.298701298701299,0.92,0.450980392156863,"New_Lookout"
5025,21,4941,59,4,0.84,0.9882,0.0118,0.16,0.987462686567164,0.84,0.9882,0.911091652908751,0.2625,0.84,0.4,"New_Lookout"
5025,23,4936,64,2,0.92,0.9872,0.0128,0.08,0.986865671641791,0.92,0.9872,0.953007869852081,0.264367816091954,0.92,0.410714285714286,"New_Lookout"
6030,29,5932,68,1,0.966666666666667,0.988666666666667,0.0113333333333333,0.0333333333333333,0.988557213930348,0.966666666666667,0.988666666666667,0.977604782676062,0.298969072164948,0.966666666666667,0.456692913385827,"New_Lookout"
6030,23,5962,38,7,0.766666666666667,0.993666666666667,0.00633333333333333,0.233333333333333,0.992537313432836,0.766666666666667,0.993666666666667,0.872817914064045,0.377049180327869,0.766666666666667,0.505494505494505,"New_Lookout"
6030,19,5957,43,11,0.633333333333333,0.992833333333333,0.00716666666666667,0.366666666666667,0.991044776119403,0.633333333333333,0.992833333333333,0.792965601047387,0.306451612903226,0.633333333333333,0.41304347826087,"New_Lookout"
6030,26,5931,69,4,0.866666666666667,0.9885,0.0115,0.133333333333333,0.987893864013267,0.866666666666667,0.9885,0.92558089867931,0.273684210526316,0.866666666666667,0.416,"New_Lookout"
6030,22,5956,44,8,0.733333333333333,0.992666666666667,0.00733333333333333,0.266666666666667,0.991376451077944,0.733333333333333,0.992666666666667,0.853203115064376,0.333333333333333,0.733333333333333,0.458333333333333,"New_Lookout"
6030,27,5949,51,3,0.9,0.9915,0.0085,0.1,0.991044776119403,0.9,0.9915,0.944642789630027,0.346153846153846,0.9,0.5,"New_Lookout"
6030,25,5939,61,5,0.833333333333333,0.989833333333333,0.0101666666666667,0.166666666666667,0.989054726368159,0.833333333333333,0.989833333333333,0.908218647194117,0.290697674418605,0.833333333333333,0.431034482758621,"New_Lookout"
6030,23,5946,54,7,0.766666666666667,0.991,0.009,0.233333333333333,0.989883913764511,0.766666666666667,0.991,0.871645952590079,0.298701298701299,0.766666666666667,0.429906542056075,"New_Lookout"
